first name,last name,email address,both mentor and mentee,job title,grade,organisation,profession,characteristics,biography
mentor,00,mentor.00@gov.uk,yes,Some role,SCS4,Department of Joy,DDaT,,"My name is mentor 00. I am a SCS4. I am in the Department of Joy, in the DDaT profession. My characteristics is/are . "
mentor,01,mentor.01@gov.uk,yes,Some role,SCS1,Department of Love,DDaT,,"My name is mentor 01. I am a SCS1. I am in the Department of Love, in the DDaT profession. My characteristics is/are . "
mentor,02,mentor.02@gov.uk,no,Some role,EO,Department of Virtue,DDaT,,"My name is mentor 02. I am a EO. I am in the Department of Virtue, in the DDaT profession. My characteristics is/are . "
mentor,03,mentor.03@gov.uk,no,Some role,SEO,Department of Joy,DDaT,,"My name is mentor 03. I am a SEO. I am in the Department of Joy, in the DDaT profession. My characteristics is/are . "
mentor,04,mentor.04@gov.uk,yes,Some role,SCS4,Department of Truth,HR,,"My name is mentor 04. I am a SCS4. I am in the Department of Truth, in the HR profession. My characteristics is/are . "
mentor,05,mentor.05@gov.uk,no,Some role,SEO,Department of Joy,Security,,"My name is mentor 05. I am a SEO. I am in the Department of Joy, in the Security profession. My characteristics is/are . "
mentor,06,mentor.06@gov.uk,no,Some role,Grade 7,Department of Peace,DDaT,Asexual or aromantic,"My name is mentor 06. I am a Grade 7. I am in the Department of Peace, in the DDaT profession. My characteristics is/are Asexual or aromantic. "
mentor,07,mentor.07@gov.uk,yes,Some role,Grade 6,Department of Joy,DDaT,,"My name is mentor 07. I am a Grade 6. I am in the Department of Joy, in the DDaT profession. My characteristics is/are . "
mentor,08,mentor.08@gov.uk,no,Some role,SCS3,Department of Virtue,Security,,"My name is mentor 08. I am a SCS3. I am in the Department of Virtue, in the Security profession. My characteristics is/are . "
mentor,09,mentor.09@gov.uk,no,Some role,EO,Department of Joy,DDaT,,"My name is mentor 09. I am a EO. I am in the Department of Joy, in the DDaT profession. My characteristics is/are . "
mentor,10,mentor.10@gov.uk,yes,Some role,SCS4,Department of Virtue,HR,,"My name is mentor 10. I am a SCS4. I am in the Department of Virtue, in the HR profession. My characteristics is/are . "
mentor,11,mentor.11@gov.uk,no,Some role,SCS3,Department of Virtue,HR,"Lesbian, Non-binary, Gay","My name is mentor 11. I am a SCS3. I am in the Department of Virtue, in the HR profession. My characteristics is/are Lesbian, Non-binary, Gay. "
mentor,12,mentor.12@gov.uk,no,Some role,SCS3,Department of Fun,HR,"Bisexual or pansexual, Transgender, Gay","My name is mentor 12. I am a SCS3. I am in the Department of Fun, in the HR profession. My characteristics is/are Bisexual or pansexual, Transgender, Gay. "
mentor,13,mentor.13@gov.uk,no,Some role,SEO,Department of Fun,HR,"Asexual or aromantic, Non-binary, Transgender","My name is mentor 13. I am a SEO. I am in the Department of Fun, in the HR profession. My characteristics is/are Asexual or aromantic, Non-binary, Transgender. "
mentor,14,mentor.14@gov.uk,no,Some role,HEO,Department of Peace,Policy,,"My name is mentor 14. I am a HEO. I am in the Department of Peace, in the Policy profession. My characteristics is/are . "
mentor,15,mentor.15@gov.uk,no,Some role,SCS3,Department of Fun,Security,,"My name is mentor 15. I am a SCS3. I am in the Department of Fun, in the Security profession. My characteristics is/are . "
mentor,16,mentor.16@gov.uk,yes,Some role,SCS1,Department of Peace,DDaT,,"My name is mentor 16. I am a SCS1. I am in the Department of Peace, in the DDaT profession. My characteristics is/are . "
mentor,17,mentor.17@gov.uk,yes,Some role,HEO,Department of Fun,DDaT,Transgender,"My name is mentor 17. I am a HEO. I am in the Department of Fun, in the DDaT profession. My characteristics is/are Transgender. "
mentor,18,mentor.18@gov.uk,yes,Some role,SCS4,Department of Fun,Operations,"Asexual or aromantic, Bisexual or pansexual, Gay","My name is mentor 18. I am a SCS4. I am in the Department of Fun, in the Operations profession. My characteristics is/are Asexual or aromantic, Bisexual or pansexual, Gay. "
mentor,19,mentor.19@gov.uk,no,Some role,SCS1,Department of Love,Operations,"Bisexual or pansexual, Transgender, Asexual or aromantic","My name is mentor 19. I am a SCS1. I am in the Department of Love, in the Operations profession. My characteristics is/are Bisexual or pansexual, Transgender, Asexual or aromantic. "
mentor,20,mentor.20@gov.uk,yes,Some role,Grade 6,Department of Truth,Operations,,"My name is mentor 20. I am a Grade 6. I am in the Department of Truth, in the Operations profession. My characteristics is/are . "
mentor,21,mentor.21@gov.uk,no,Some role,Grade 6,Department of Peace,HR,,"My name is mentor 21. I am a Grade 6. I am in the Department of Peace, in the HR profession. My characteristics is/are . "
mentor,22,mentor.22@gov.uk,no,Some role,SCS3,Department of Virtue,Operations,,"My name is mentor 22. I am a SCS3. I am in the Department of Virtue, in the Operations profession. My characteristics is/are . "
mentor,23,mentor.23@gov.uk,no,Some role,Grade 7,Department of Peace,Operations,"Gay, Transgender","My name is mentor 23. I am a Grade 7. I am in the Department of Peace, in the Operations profession. My characteristics is/are Gay, Transgender. "
mentor,24,mentor.24@gov.uk,yes,Some role,EO,Department of Peace,HR,,"My name is mentor 24. I am a EO. I am in the Department of Peace, in the HR profession. My characteristics is/are . "
mentor,25,mentor.25@gov.uk,yes,Some role,SCS4,Department of Fun,Policy,,"My name is mentor 25. I am a SCS4. I am in the Department of Fun, in the Policy profession. My characteristics is/are . "
mentor,26,mentor.26@gov.uk,no,Some role,SCS3,Department of Fun,Policy,"Gay, Non-binary","My name is mentor 26. I am a SCS3. I am in the Department of Fun, in the Policy profession. My characteristics is/are Gay, Non-binary. "
mentor,27,mentor.27@gov.uk,yes,Some role,Grade 6,Department of Fun,Operations,"Non-binary, Bisexual or pansexual, Asexual or aromantic","My name is mentor 27. I am a Grade 6. I am in the Department of Fun, in the Operations profession. My characteristics is/are Non-binary, Bisexual or pansexual, Asexual or aromantic. "
mentor,28,mentor.28@gov.uk,yes,Some role,SEO,Department of Joy,DDaT,,"My name is mentor 28. I am a SEO. I am in the Department of Joy, in the DDaT profession. My characteristics is/are . "
mentor,29,mentor.29@gov.uk,no,Some role,SCS2,Department of Fun,Security,Gay,"My name is mentor 29. I am a SCS2. I am in the Department of Fun, in the Security profession. My characteristics is/are Gay. "
mentor,30,mentor.30@gov.uk,yes,Some role,SCS1,Department of Joy,Security,,"My name is mentor 30. I am a SCS1. I am in the Department of Joy, in the Security profession. My characteristics is/are . "
mentor,31,mentor.31@gov.uk,yes,Some role,SCS2,Department of Love,HR,,"My name is mentor 31. I am a SCS2. I am in the Department of Love, in the HR profession. My characteristics is/are . "
mentor,32,mentor.32@gov.uk,yes,Some role,EO,Department of Fun,Operations,,"My name is mentor 32. I am a EO. I am in the Department of Fun, in the Operations profession. My characteristics is/are . "
mentor,33,mentor.33@gov.uk,yes,Some role,Grade 7,Department of Truth,Policy,,"My name is mentor 33. I am a Grade 7. I am in the Department of Truth, in the Policy profession. My characteristics is/are . "
mentor,34,mentor.34@gov.uk,yes,Some role,Grade 6,Department of Fun,DDaT,,"My name is mentor 34. I am a Grade 6. I am in the Department of Fun, in the DDaT profession. My characteristics is/are . "
mentor,35,mentor.35@gov.uk,yes,Some role,SCS3,Department of Truth,Security,"Asexual or aromantic, Gay, Bisexual or pansexual","My name is mentor 35. I am a SCS3. I am in the Department of Truth, in the Security profession. My characteristics is/are Asexual or aromantic, Gay, Bisexual or pansexual. "
mentor,36,mentor.36@gov.uk,yes,Some role,SCS4,Department of Peace,DDaT,,"My name is mentor 36. I am a SCS4. I am in the Department of Peace, in the DDaT profession. My characteristics is/are . "
mentor,37,mentor.37@gov.uk,no,Some role,SCS1,Department of Love,Policy,,"My name is mentor 37. I am a SCS1. I am in the Department of Love, in the Policy profession. My characteristics is/are . "
mentor,38,mentor.38@gov.uk,yes,Some role,SCS2,Department of Fun,HR,"Asexual or aromantic, Transgender","My name is mentor 38. I am a SCS2. I am in the Department of Fun, in the HR profession. My characteristics is/are Asexual or aromantic, Transgender. "
mentor,39,mentor.39@gov.uk,yes,Some role,SCS3,Department of Truth,Policy,,"My name is mentor 39. I am a SCS3. I am in the Department of Truth, in the Policy profession. My characteristics is/are . "
mentor,40,mentor.40@gov.uk,yes,Some role,Grade 6,Department of Love,HR,"Transgender, Lesbian","My name is mentor 40. I am a Grade 6. I am in the Department of Love, in the HR profession. My characteristics is/are Transgender, Lesbian. "
mentor,41,mentor.41@gov.uk,no,Some role,Grade 7,Department of Love,Operations,"Lesbian, Bisexual or pansexual, Non-binary","My name is mentor 41. I am a Grade 7. I am in the Department of Love, in the Operations profession. My characteristics is/are Lesbian, Bisexual or pansexual, Non-binary. "
mentor,42,mentor.42@gov.uk,no,Some role,Grade 6,Department of Peace,Operations,"Gay, Bisexual or pansexual","My name is mentor 42. I am a Grade 6. I am in the Department of Peace, in the Operations profession. My characteristics is/are Gay, Bisexual or pansexual. "
mentor,43,mentor.43@gov.uk,yes,Some role,SEO,Department of Love,Policy,"Non-binary, Lesbian","My name is mentor 43. I am a SEO. I am in the Department of Love, in the Policy profession. My characteristics is/are Non-binary, Lesbian. "
mentor,44,mentor.44@gov.uk,no,Some role,SCS2,Department of Peace,Security,Non-binary,"My name is mentor 44. I am a SCS2. I am in the Department of Peace, in the Security profession. My characteristics is/are Non-binary. "
mentor,45,mentor.45@gov.uk,no,Some role,SCS4,Department of Virtue,Policy,"Transgender, Bisexual or pansexual","My name is mentor 45. I am a SCS4. I am in the Department of Virtue, in the Policy profession. My characteristics is/are Transgender, Bisexual or pansexual. "
mentor,46,mentor.46@gov.uk,yes,Some role,SCS2,Department of Truth,Operations,,"My name is mentor 46. I am a SCS2. I am in the Department of Truth, in the Operations profession. My characteristics is/are . "
mentor,47,mentor.47@gov.uk,yes,Some role,SCS2,Department of Love,Policy,Transgender,"My name is mentor 47. I am a SCS2. I am in the Department of Love, in the Policy profession. My characteristics is/are Transgender. "
mentor,48,mentor.48@gov.uk,no,Some role,EO,Department of Love,HR,"Transgender, Asexual or aromantic, Lesbian","My name is mentor 48. I am a EO. I am in the Department of Love, in the HR profession. My characteristics is/are Transgender, Asexual or aromantic, Lesbian. "
mentor,49,mentor.49@gov.uk,yes,Some role,Grade 7,Department of Fun,Security,,"My name is mentor 49. I am a Grade 7. I am in the Department of Fun, in the Security profession. My characteristics is/are . "
